,Job_Name,Company,Location,Job_type,Employees,Followers,Applicant,Industry,Involvement
0,"Client Technology: Platform Engineering, Senior DevOps engineer",EY,"Trivandrum, Kerala, India",On-site,10001,7366377,9,Information Technology & Services,Full-time · Mid-Senior level
1,Associate - Global Intelligence (Open Source Collection Cell),JPMorgan Chase & Co.,"Mumbai, Maharashtra, India",On-site,10001,3791093,10,Financial Services,Full-time
2,MTS Software Development Eng.,AMD,"Bengaluru, Karnataka, India",On-site,10001,1068681,41,Semiconductors,Full-time · Mid-Senior level
3,Tech Lead - Wifi Development,VVDN Technologies,"Chennai, Tamil Nadu, India",On-site,10001,62010,13,Information Technology & Services,Full-time · Mid-Senior level
4,Senior Application Specialist,Leica Biosystems,"Mumbai, Maharashtra, India",On-site,5000,86924,78,Medical Device,Full-time
5,Sales Engineer,Thought Machine,Mumbai Metropolitan Region,On-site,1000,58555,18,Computer Software,Full-time
6,Openstack Administrator,TIS Labs Pvt Ltd,"Andhra Pradesh, India",On-site,200,8801,66,Information Technology & Services,Full-time · Mid-Senior level
7,TCS Hiring for Network Data - R&S Aruba Wireless,Tata Consultancy Services,"New Delhi, Delhi, India",Hybrid,10001,12345310,200,Information Technology & Services,Full-time · Associate
8,Value Stream Leader,GKN Automotive,"Sriperumbudur, Tamil Nadu, India",On-site,10001,107995,154,Automotive,Full-time · Mid-Senior level
9,DevSecops Engineer/Application Security Engineer,Ingram Micro,"Chennai, Tamil Nadu, India",Hybrid,10001,411809,75,Information Technology & Services,Full-time · Mid-Senior level
10,Oracle DBA,Tata Consultancy Services,"Chennai, Tamil Nadu, India",On-site,10001,12345309,79,Information Technology & Services,Full-time · Mid-Senior level
11,SEO Analyst,LIFE AT WOODS,"Hyderabad, Telangana, India",On-site,200,791,76,Government Administration,Full-time
12,Big Data Developer,Luxoft,"Chennai, Tamil Nadu, India",Hybrid,10001,1069016,12,Information Technology & Services,Full-time · Mid-Senior level
13,STEM & Robotics Trainer,Eduvacancy,"Hyderabad, Telangana, India",On-site,10,47882,1,Internet,Full-time
14,Lead Data Scientist,WUElev8 - Where yoU Elevate,"Chennai, Tamil Nadu, India",On-site,50,19958,2,Computer Software,Full-time
15,Full Time Instructor - Computer Science,Newton School,"Bengaluru, Karnataka, India",On-site,500,81310,16,E-learning,Full-time
16,EngageOne Developer,LTIMindtree,"Bengaluru, Karnataka, India",On-site,10001,390524,21,Information Technology & Services,Full-time · Mid-Senior level
17,SMTS - VMC on AWS,VMware,"Bengaluru, Karnataka, India",On-site,10001,1863289,19,Computer Software,Full-time
18,IAM Specialist - Identity Services (Staff Augmentation),EY,"Trivandrum, Kerala, India",On-site,10001,7366382,9,Information Technology & Services,Part-time · Associate
19,XSOAR Engineer,CyberProof,"Bengaluru, Karnataka, India",Hybrid,1000,15214,54,Computer & Network Security,Full-time · Mid-Senior level
20,Data Analyst,Keyloop,"Hyderabad, Telangana, India",Hybrid,5000,58990,166,Computer Software,Full-time · Associate
21,Abinitio with Meta Data Bangalore,Virtusa,"Karnataka, India",Hybrid,10001,885714,32,Information Technology & Services,Full-time · Mid-Senior level
22,Tool & Die Maintenance Technician,Gestamp,"Kanchipuram, Tamil Nadu, India",On-site,10001,241439,62,Automotive,Full-time · Mid-Senior level
23,Chief Manager/Assistant Manager - Thermal Equipment Engineering,John Cockerill,"Mumbai, Maharashtra, India",On-site,10000,64588,188,Mechanical Or Industrial Engineering,Full-time · Mid-Senior level
24,Lead Software Engineer,HERE Technologies,"Mumbai, Maharashtra, India",On-site,10000,198842,31,Information Technology & Services,Full-time · Mid-Senior level
25,Data Controller,ENP Technologies,"Maharashtra, India",Hybrid,10,1000,108,Information Technology & Services,Full-time
26,Senior / Lead Engineer - iOS,QBurst,Greater Bengaluru Area,Hybrid,5000,48932,139,Information Technology & Services,Full-time · Mid-Senior level
27,Sr Software Engineer,ACI Worldwide,"Pune, Maharashtra, India",On-site,5000,134619,35,Computer Software,Full-time · Mid-Senior level
28,Service Technician,Leslie's,"Salem, Tamil Nadu, India",On-site,5000,15251,16,Retail,Full-time · Executive
29,Principal Software Engineer,Aurigo Software Technologies,"Bengaluru, Karnataka, India",Hybrid,500,23495,33,Computer Software,Full-time · Mid-Senior level
30,Staff Software Engineer,Equinix Asia-Pacific,"Bengaluru, Karnataka, India",On-site,10000,23716,30,Computer Software,Full-time
31,Mobility Sales Lead,Jio,"Thoubal, Manipur, India",On-site,10001,939976,128,Telecommunications,Full-time · Associate
32,Solution Lead Java,Acara Solutions India,"Bengaluru, Karnataka, India",On-site,500,19955,34,Staffing & Recruiting,Full-time · Mid-Senior level
33,Field Coordinators - UT Jammu & Kashmir,Responsenet,"Srinagar, Jammu & Kashmir, India",On-site,50,10075,200,Non-profit Organization Management,Full-time
34,Head of Network Operations,Mindsprint,"Chennai, Tamil Nadu, India",Hybrid,5000,20969,72,Information Technology & Services,Full-time · Director
35,Oracle DBA,Tata Consultancy Services,"Bengaluru, Karnataka, India",On-site,10001,12345335,93,Information Technology & Services,Full-time · Mid-Senior level
36,Lead/Senior Backend Developer,99Games,"Udupi, Karnataka, India",On-site,200,24155,109,Computer Games,Full-time · Mid-Senior level
37,Senior Regional Technical Specialist (Markets and Value Chains) - P-4,International Fund for Agricultural Development (IFAD),"New Delhi, Delhi, India",On-site,1000,178175,62,International Trade & Development,Full-time · Mid-Senior level
38,"Technical lead, Software Developement",Landis+Gyr,"Noida, Uttar Pradesh, India",Hybrid,10000,68117,31,Electrical & Electronic Manufacturing,Full-time · Mid-Senior level
39,Lead Security Engineer - SOC,"Envestnet, Inc","Trivandrum, Kerala, India",Hybrid,5000,68684,124,Financial Services,Full-time · Mid-Senior level
41,Application Architect,BDx Data Centers,"Navi Mumbai, Maharashtra, India",On-site,500,18228,35,Computer Software,Full-time
42,Technical Lead (Embedded Linux Expert),"Mettler-Toledo International, Inc","Coimbatore, Tamil Nadu, India",On-site,10001,118535,15,Electrical & Electronic Manufacturing,Full-time · Mid-Senior level
43,PCF,UST,"Bengaluru, Karnataka, India",Hybrid,10001,821584,59,Information Technology & Services,Full-time · Mid-Senior level
44,Java Lead/Manager,Evolent Health,"Pune, Maharashtra, India",Hybrid,5000,72415,52,Hospital & Health Care,Full-time · Director
45,Graduate Management Trainee,Gautam Dyes and Chemicals Inc,"Chennai, Tamil Nadu, India",On-site,500,1441,20,Chemicals,Full-time
46,Lead Software Engineer – Full stack,Nissan Motor Corporation,"Trivandrum, Kerala, India",On-site,10001,1382213,26,Automotive,Full-time
47,VC++ | Pune | 4Yrs - 6Yrs,Capgemini,"Pune, Maharashtra, India",On-site,10001,5643035,38,Information Technology & Services,Full-time
48,Application Engineers,TRANSREACH TALENT LLC,"Bengaluru, Karnataka, India",Hybrid,200,789,8,Information Technology & Services,Full-time
49,Branch Head-MNC Bank-Gurgaon,upGrad Rekrut,"Gurugram, Haryana, India",On-site,200,38158,112,Staffing & Recruiting,Full-time · Mid-Senior level
50,Technical Lead-Integration and Deployment,IDEMIA,"Mumbai, Maharashtra, India",On-site,10001,511174,17,Computer Software,Full-time · Mid-Senior level
51,Privileged Access Management (Beyond Trust),HCLTech,"Noida, Uttar Pradesh, India",On-site,10001,4675781,94,Information Technology & Services,Full-time · Mid-Senior level
52,Field Service Technician,Evoqua Water Technologies,"Lephripada, Odisha, India",On-site,5000,84683,26,Environmental Services,Full-time
53,Assistant Manager - Internal Controls - IT,The Kraft Heinz Company,"Ramban, Jammu & Kashmir, India",On-site,10001,1315994,28,Food & Beverages,Full-time · Mid-Senior level
54,Business Analyst,Kyndryl India,"Bangalore Urban, Karnataka, India",Hybrid,10001,46543,69,Information Technology & Services,Full-time · Entry level
55,Guidewire Claim center developer,Aspire Systems,Greater Chennai Area,Hybrid,5000,95488,17,Information Technology & Services,Full-time · Mid-Senior level
57,Datacom Developer,Capgemini Engineering,"Bengaluru, Karnataka, India",Hybrid,10001,1675879,14,Information Technology & Services,Full-time · Mid-Senior level
58,Stream Lead/Technical Lead,Lentra,"Bengaluru, Karnataka, India",On-site,500,12971,22,Information Technology & Services,Full-time · Mid-Senior level
59,Sr. Application Engineer I,Johnson Controls,"Pune, Maharashtra, India",On-site,10001,1247311,52,Mechanical Or Industrial Engineering,Full-time · Mid-Senior level
60,Business Development Executive,BYJU'S,"Bengaluru, Karnataka, India",On-site,10001,1799437,17,E-learning,Full-time
61,Technical Content Writer,HOPS HEALTHCARE,"Ahmedabad, Gujarat, India",On-site,200,7012,4,"Health, Wellness & Fitness",Full-time
